countryCode	year	sex	laborForcePartipation	pctAdvancedEdu	pctBasicEdu	lifeExpect	literacyRate
ARB	2006	Female	20.1120572273425	..	..	71.0421296538291	58.70964
ARB	2007	Female	20.6811076091566	..	..	71.2869495417346	59.13446
ARB	2008	Female	20.7896295188809	..	..	71.5142129994664	60.5038
ARB	2009	Female	20.6636674481393	..	..	71.7224765625064	58.9337
ARB	2010	Female	20.7489084985904	..	..	71.9146268613885	60.22807
ARB	2011	Female	20.6508729422485	..	..	72.0985190372229	62.32558
ARB	2012	Female	20.8407786832225	..	..	72.2826318264531	63.69985
ARB	2013	Female	21.0585972118438	..	..	72.4734050482071	64.176
ARB	2014	Female	20.8124657389009	..	..	72.6711872788338	64.81879
ARB	2015	Female	20.8671712237034	..	..	72.8757610183377	65.35713
ARB	2016	Female	20.8329693581077	..	..	73.0838909594567	65.95265
ARG	1990	Female	44.3129997253418	..	..	75.191	..
ARG	1991	Female	45.0299987792969	..	..	75.426	96.0413589477539
ARG	1992	Female	45.8429985046387	..	..	75.666	..
ARG	1993	Female	46.359001159668	..	..	75.905	..
ARG	1994	Female	46.9070014953613	..	..	76.142	..
ARG	1995	Female	46.8479995727539	..	..	76.377	..
ARG	1996	Female	47.4099998474121	..	..	76.611	..
ARG	1997	Female	48.1879997253418	..	..	76.844	..
ARG	1998	Female	48.701000213623	..	..	77.079	..
ARG	1999	Female	48.7080001831055	..	..	77.313	..
ARG	2000	Female	48.9099998474121	..	..	77.544	..
ARG	2001	Female	48.9049987792969	..	..	77.769	97.1934127807617
ARG	2002	Female	48.3660011291504	..	..	77.987	..
ARG	2003	Female	49.2050018310547	..	..	78.194	..
ARG	2004	Female	50.060001373291	89.3696975708008	71.5207977294922	78.392	..
ARG	2005	Female	49.4199981689453	89.8295974731445	71.098503112793	78.581	..
ARG	2006	Female	49.9379997253418	90.160400390625	70.0866012573242	78.761	..
ARG	2007	Female	49.0180015563965	..	..	78.936	..
ARG	2008	Female	48.1189994812012	89.9759979248047	68.4113998413086	79.107	..
ARG	2009	Female	48.8230018615723	89.0948028564453	68.3119964599609	79.275	..
ARG	2010	Female	46.3790016174316	89.9052963256836	67.6121978759766	79.439	..
ARG	2011	Female	48.1020011901855	90.4813003540039	67.9545974731445	79.599	..
ARG	2012	Female	48.1879997253418	88.6520004272461	67.306999206543	79.752	..
ARG	2013	Female	47.7900009155273	89.9970016479492	66.1175994873047	79.899	..
ARG	2014	Female	47.1570014953613	88.2546997070313	65.7076034545898	80.04	..
ARG	2015	Female	47.4529991149902	..	..	80.177	98.129997253418
ARG	2016	Female	47.4300003051758	..	..	80.31	..
ARM	1990	Female	48.9609985351563	..	..	70.782	..
ARM	1991	Female	49.0069999694824	..	..	70.969	..
